-55.12,Harris Teeter,1612242000000,4
-450.00,Keystone,1612501200000,1
-23.69,Shell,1612587600000,4
-42.42,CVS,1613106000000,6
-200.00,USAA,1613365200000,8
-51.65,Amazon,1613624400000,4
-100.00,IRS,1613624400000,8
-69.69,Crazy Shirts,1613883600000,5
-81.40,Duke Power,1613883600000,2
-18.74,Don Juan's,1614488400000,4
-95.32,Amazon,1614661200000,0
-50.13,Harris Teeter,1614661200000,4
-23.69,Shell,1614920400000,4
-450.00,Keystone,1615006800000,1
-20.32,Walgreens,1615525200000,6
-200.00,USAA,1615780800000,8
-40.14,Harris Teeter,1615953600000,4
-100.00,IRS,1616040000000,8
-45.97,Amazon,1615611600000,5
-73.45,Duke Power,1616212800000,2
-20.00,Doordash,1616644800000,4
-100.00,Amazon,1617249600000,0
-60.42,Harris Teeter,1617249600000,4
-7.82,McDonald's,1617336000000,4
-25.68,Shell,1617336000000,4
-450.00,Keystone,1617595200000,1
-45.97,Amazon,1618286400000,5
-200.00,USAA,1618459200000,8
-34.76,Harris Teeter,1618459200000,4
-100.00,IRS,1618718400000,8
-73.45,Duke Power,1618891200000,2
-12.32,Walgreens,1618977600000,6
